lang_name	keep_rows	remove_rows	total_rows	keep_tokens	remove_tokens	total_tokens	keep_disk	remove_disk	total_disk	source
new_Deva	187269	16225	203494	23861964	2065620	25927584	288.82MB	85.41MB	374.23MB	fineweb-2, mala, New CC
und_Mroo	186137	22853	208990	6423841	788688	7212529	2.27GB	319.84MB	2.58GB	fineweb-2
sme_Latn	184427	14876	199303	42270878	3525619	45796497	304.03MB	88.07MB	392.11MB	fineweb-2, mala
und_Bopo	181708	24447	206155	30630500	4121028	34751528	3.22GB	849.42MB	4.05GB	fineweb-2
nso_Latn	175980	9656	185636	18891826	1076766	19968592	106.63MB	30.80MB	137.43MB	fineweb-2, mala
und_Armn	168059	46687	214746	33054778	9182658	42237436	331.08MB	491.86MB	822.94MB	fineweb-2
und_Mtei	166923	19644	186567	48489481	5706387	54195868	758.98MB	544.46MB	1.27GB	fineweb-2
scn_Latn	162546	10711	173257	18069237	1484413	19553650	119.49MB	24.28MB	143.76MB	fineweb-2, mala, New CC
ina_Latn	159802	16993	176795	13619366	1492374	15111740	99.48MB	26.72MB	126.20MB	fineweb-2, mala, New CC
lld_Latn	154215	24985	179200	8000831	1248359	9249190	86.31MB	16.03MB	102.33MB	fineweb-2, mala
und_Khar	153370	40038	193408	6754817	1763378	8518195	238.70MB	173.93MB	412.63MB	fineweb-2
hyw_Armn	142710	12895	155605	60770654	5522295	66292949	823.68MB	166.11MB	989.79MB	fineweb-2, mala
und_Deva	141127	26074	167201	35957610	6643369	42600979	244.13MB	1.43GB	1.67GB	fineweb-2
abk_Cyrl	139722	12856	152578	7725555	671844	8397399	95.66MB	13.90MB	109.56MB	fineweb-2, mala
und_Brah	138030	22724	160754	7853310	1292897	9146207	261.03MB	232.46MB	493.50MB	fineweb-2
bpy_Beng	135664	9499	145163	9299467	766180	10065647	135.33MB	26.96MB	162.29MB	fineweb-2, mala, New CC
bew_Cyrl	133830	13490	147320	3369817	339676	3709493	70.69MB	15.08MB	85.77MB	mala
lin_Latn	133642	8675	142317	16035104	1372183	17407287	110.27MB	30.77MB	141.04MB	fineweb-2, mala
und_Bhks	131896	27029	158925	3931080	805583	4736663	182.11MB	147.47MB	329.58MB	fineweb-2
oss_Cyrl	128058	13975	142033	84795639	9561587	94357226	372.34MB	159.28MB	531.62MB	fineweb-2, mala, New CC
tgk_Arab	127771	14974	142745	11608256	1360418	12968674	99.29MB	52.94MB	152.23MB	mala
szl_Latn	127603	10328	137931	8515961	738212	9254173	85.82MB	12.22MB	98.04MB	fineweb-2, mala
mww_Latn	122304	10216	132520	98369197	8216736	106585933	511.63MB	99.37MB	611.00MB	fineweb-2
sdh_Arab	120041	14202	134243	35259623	4502397	39762020	444.91MB	130.65MB	575.56MB	fineweb-2, mala
und_Hmnp	118870	12334	131204	6826948	708367	7535315	416.07MB	144.78MB	560.85MB	fineweb-2
srd_Latn	118783	8139	126922	15381237	1228699	16609936	114.22MB	23.06MB	137.28MB	fineweb-2, mala
mhr_Cyrl	118768	12583	131351	30711484	3171784	33883268	265.90MB	71.78MB	337.69MB	fineweb-2, mala, New CC
ydd_Hebr	117784	7278	125062	73708154	4554535	78262689	838.91MB	115.11MB	954.03MB	fineweb-2, mala
diq_Latn	117095	11778	128873	9746257	962884	10709141	71.95MB	15.59MB	87.53MB	fineweb-2, mala, New CC
und_Telu	115913	30828	146741	9004468	2394811	11399279	390.34MB	407.21MB	797.55MB	fineweb-2
que_Latn	114283	23930	138213	4282918	896825	5179743	55.08MB	32.27MB	87.35MB	mala, New CC, New CC
run_Latn	114035	9287	123322	24631436	1972941	26604377	208.43MB	37.51MB	245.94MB	fineweb-2, mala
hsb_Latn	112762	9949	122711	25096207	2043219	27139426	146.00MB	22.71MB	168.70MB	fineweb-2, mala, New CC
wol_Latn	108941	11076	120017	11755874	1370150	13126024	91.55MB	28.37MB	119.92MB	fineweb-2, mala
rmy_Latn	108228	21113	129341	284557286	55705068	340262354	2.37GB	94.36MB	2.46GB	fineweb-2, mala
und_Phag	107755	17582	125337	3409789	556363	3966152	135.12MB	88.99MB	224.10MB	fineweb-2
und_Merc	107519	38040	145559	7610200	2692473	10302673	205.45MB	450.35MB	655.81MB	fineweb-2
urd_Latn	106750	12604	119354	139191270	16434349	155625619	298.21MB	133.79MB	432.00MB	fineweb-2
kiu_Latn	106482	10355	116837	36528860	3761474	40290334	276.25MB	184.75MB	461.00MB	fineweb-2, mala
cak_Latn	106284	6639	112923	6079399	438745	6518144	63.11MB	10.35MB	73.46MB	fineweb-2, mala
ilo_Latn	106182	7825	114007	28611987	2058380	30670367	137.03MB	35.87MB	172.90MB	fineweb-2, mala, New CC
und_Kali	105868	24327	130195	1388215	318992	1707207	100.34MB	87.21MB	187.55MB	fineweb-2
und_Plrd	104310	21074	125384	5466895	1104490	6571385	204.59MB	214.81MB	419.40MB	fineweb-2
und_Orya	104035	26521	130556	10140981	2585177	12726158	285.55MB	369.69MB	655.24MB	fineweb-2
und_Lisu	101469	20052	121521	24001781	4743160	28744941	194.77MB	502.77MB	697.54MB	fineweb-2
und_Hmng	101019	23337	124356	5369264	1240385	6609649	146.11MB	187.86MB	333.96MB	fineweb-2
acm_Arab	98441	9971	108412	15262277	1535376	16797653	208.21MB	60.02MB	268.23MB	fineweb-2, mala
und_Gran	97962	21568	119530	3569694	785929	4355623	129.01MB	232.60MB	361.61MB	fineweb-2
und_Nkoo	97035	25738	122773	3610543	957676	4568219	1.98GB	220.96MB	2.19GB	fineweb-2
und_Taml	96473	16678	113151	4896337	846465	5742802	119.23MB	148.10MB	267.34MB	fineweb-2
und_Gonm	94819	16284	111103	2831994	486360	3318354	101.94MB	135.58MB	237.51MB	fineweb-2
xmf_Geor	93457	6296	99753	9773908	648813	10422721	131.31MB	29.63MB	160.94MB	fineweb-2, mala, New CC
und_Cher	93115	25902	119017	8554417	2379600	10934017	231.06MB	655.93MB	886.99MB	fineweb-2
grc_Grek	91727	9095	100822	66089432	6641824	72731256	646.19MB	253.87MB	900.07MB	fineweb-2, mala
und_Tnsa	89545	17934	107479	3277073	656329	3933402	93.93MB	194.59MB	288.52MB	fineweb-2
vls_Latn	88705	8033	96738	10668200	1372722	12040922	61.92MB	18.12MB	80.03MB	fineweb-2, mala
und_Cprt	88193	14110	102303	7868259	1258842	9127101	135.76MB	81.93MB	217.69MB	fineweb-2
crh_Latn	87247	6536	93783	17309747	1544043	18853790	142.38MB	56.48MB	198.86MB	fineweb-2, mala
tso_Latn	87143	6899	94042	15833225	1217605	17050830	74.71MB	33.90MB	108.61MB	fineweb-2, mala
und_Gujr	86094	10274	96368	1361854	162516	1524370	138.38MB	46.91MB	185.29MB	fineweb-2
mwl_Latn	83967	6888	90855	14435707	1753945	16189652	75.27MB	26.54MB	101.81MB	fineweb-2, mala, New CC
nav_Latn	83465	10127	93592	4671502	568488	5239990	54.17MB	10.61MB	64.78MB	fineweb-2, mala
grn_Latn	81994	7378	89372	5116640	460393	5577033	48.16MB	24.51MB	72.67MB	mala, New CC
tat_Latn	81260	8881	90141	38663467	4101951	42765418	178.65MB	41.96MB	220.62MB	fineweb-2, mala
mui_Latn	79139	9696	88835	21543715	2639506	24183221	167.47MB	61.77MB	229.24MB	fineweb-2
und_Cari	77735	18089	95824	1726601	401781	2128382	85.23MB	72.49MB	157.72MB	fineweb-2
hin_Latn	77143	7901	85044	142599949	14552577	157152526	342.59MB	91.85MB	434.44MB	fineweb-2, mala
udm_Cyrl	75222	5119	80341	23245930	1576472	24822402	226.83MB	58.13MB	284.96MB	fineweb-2, mala
mzn_Arab	72131	7934	80065	3760565	449500	4210065	47.86MB	12.84MB	60.70MB	fineweb-2, mala, New CC
bcl_Latn	70457	5815	76272	10145284	851937	10997221	66.15MB	13.71MB	79.86MB	fineweb-2, mala
mvf_Mong	70427	10110	80537	41615108	5972648	47587756	636.66MB	224.38MB	861.04MB	mala
ban_Latn	70055	5234	75289	12540147	1293016	13833163	96.79MB	21.10MB	117.88MB	fineweb-2, mala
und_Diak	68418	22400	90818	2866590	938519	3805109	55.69MB	89.99MB	145.68MB	fineweb-2
und_Marc	67800	11889	79689	2340996	410503	2751499	63.43MB	90.93MB	154.35MB	fineweb-2
und_Mani	65940	9565	75505	6265468	908844	7174312	122.44MB	133.85MB	256.30MB	fineweb-2
und_Talu	65754	11936	77690	1271390	230789	1502179	74.85MB	59.32MB	134.17MB	fineweb-2
cnh_Latn	65675	5138	70813	30804735	2466938	33271673	180.66MB	25.01MB	205.68MB	fineweb-2, mala
und_Vith	65142	12134	77276	2493654	464493	2958147	118.64MB	90.85MB	209.49MB	fineweb-2
und_Nagm	63572	11939	75511	1030094	193454	1223548	55.51MB	70.45MB	125.96MB	fineweb-2
tyv_Cyrl	63103	4696	67799	21300318	1896312	23196630	192.23MB	47.84MB	240.07MB	fineweb-2, mala, New CC
afb_Arab	61990	10144	72134	1060404	173523	1233927	27.95MB	5.61MB	33.56MB	mala
kaa_Latn	61847	7173	69020	64456731	7475675	71932406	226.33MB	32.25MB	258.58MB	mala
zea_Latn	60735	5239	65974	19632548	1695080	21327628	113.86MB	46.10MB	159.96MB	fineweb-2, mala
und_Ahom	60214	9688	69902	2339091	376343	2715434	121.62MB	67.40MB	189.03MB	fineweb-2
cbk_Latn	60119	9090	69209	13271585	2065269	15336854	94.09MB	48.02MB	142.11MB	fineweb-2, mala
und_Mlym	58978	14241	73219	3230645	780080	4010725	57.12MB	544.80MB	601.92MB	fineweb-2
und_Java	58521	13319	71840	2180637	496299	2676936	63.47MB	110.75MB	174.22MB	fineweb-2
frp_Latn	57972	6385	64357	19131421	2130272	21261693	154.90MB	47.43MB	202.33MB	fineweb-2, mala
kur_Arab	56418	10636	67054	3504165	660610	4164775	38.61MB	31.84MB	70.45MB	mala
frr_Latn	55114	5153	60267	4698958	470344	5169302	36.52MB	7.03MB	43.55MB	fineweb-2, mala
und_Beng	54181	11961	66142	6484052	1431419	7915471	102.46MB	112.54MB	215.00MB	fineweb-2
ful_Latn	53792	12583	66375	2547970	596019	3143989	28.50MB	10.93MB	39.44MB	mala
lij_Latn	53397	3953	57350	27054603	2396525	29451128	218.66MB	22.80MB	241.46MB	fineweb-2, mala
mai_Deva	52579	3499	56078	19027256	1420056	20447312	182.32MB	50.34MB	232.66MB	fineweb-2, mala, New CC
pfl_Latn	51892	5496	57388	7996388	921961	8918349	74.44MB	22.93MB	97.38MB	fineweb-2, mala
apc_Arab	51274	5363	56637	2522964	290251	2813215	46.65MB	6.83MB	53.49MB	fineweb-2, mala
pon_Latn	49134	3576	52710	2071503	150765	2222268	21.82MB	7.31MB	29.13MB	mala
und_Palm	48994	5324	54318	424134	46089	470223	37.58MB	41.79MB	79.37MB	fineweb-2
und_Wara	46804	9119	55923	1471826	286761	1758587	55.77MB	50.31MB	106.09MB	fineweb-2
eml_Latn	46134	4841	50975	13764340	2077991	15842331	47.03MB	19.13MB	66.17MB	fineweb-2, mala, New CC
uzs_Arab	45920	4858	50778	8678772	935248	9614020	99.87MB	24.70MB	124.57MB	fineweb-2, mala
mam_Latn	45462	3688	49150	3549951	291438	3841389	28.26MB	9.65MB	37.91MB	fineweb-2, mala
gom_Latn	45419	3473	48892	10230352	1133421	11363773	36.47MB	21.09MB	57.56MB	fineweb-2, mala
hil_Latn	45213	4657	49870	23214327	2422795	25637122	161.25MB	27.80MB	189.05MB	fineweb-2, mala
nde_Latn	44632	6044	50676	4595249	506078	5101327	57.69MB	10.98MB	68.67MB	fineweb-2, mala
bak_Latn	42407	8888	51295	728901	152769	881670	18.37MB	4.56MB	22.93MB	mala
bjn_Latn	41994	3220	45214	3315251	266810	3582061	28.65MB	8.08MB	36.73MB	fineweb-2, mala
ven_Latn	41238	3067	44305	4648005	345686	4993691	21.43MB	10.73MB	32.16MB	mala
nap_Latn	41217	4097	45314	2442791	242815	2685606	20.59MB	4.60MB	25.19MB	mala
tet_Latn	40816	3935	44751	35942260	3464672	39406932	149.34MB	25.09MB	174.43MB	fineweb-2, mala
gaz_Latn	40698	2770	43468	14095644	959382	15055026	123.81MB	21.72MB	145.53MB	fineweb-2
tpi_Latn	40586	2795	43381	3966804	367319	4334123	30.83MB	4.45MB	35.29MB	fineweb-2, mala
dag_Latn	40538	5678	46216	29890540	4345826	34236366	190.15MB	75.77MB	265.92MB	fineweb-2, mala
inh_Cyrl	40204	4147	44351	15293973	1522399	16816372	157.75MB	57.47MB	215.22MB	fineweb-2, mala
und_Khoj	39854	5234	45088	892456	117205	1009661	41.07MB	38.34MB	79.41MB	fineweb-2
hbo_Hebr	39761	5197	44958	33872875	4427387	38300262	247.44MB	173.48MB	420.92MB	fineweb-2
sat_Olck	39623	2307	41930	6324645	386983	6711628	75.66MB	13.21MB	88.87MB	fineweb-2, mala
tzo_Latn	38607	2457	41064	3926713	300646	4227359	27.84MB	11.50MB	39.34MB	fineweb-2, mala
vep_Latn	38512	2923	41435	3838804	285848	4124652	34.41MB	6.61MB	41.02MB	fineweb-2, mala
glv_Latn	38448	2950	41398	3949611	319469	4269080	26.32MB	7.48MB	33.80MB	fineweb-2, mala
bam_Latn	38066	3385	41451	5501664	600716	6102380	37.48MB	17.94MB	55.42MB	fineweb-2, mala
twi_Latn	37805	2319	40124	7226865	482889	7709754	49.99MB	7.59MB	57.58MB	fineweb-2, mala
bik_Latn	37637	3390	41027	2910074	262113	3172187	20.78MB	11.72MB	32.50MB	mala
ajp_Arab	37428	4684	42112	701160	87748	788908	17.16MB	2.77MB	19.93MB	mala
ewe_Latn	37020	2815	39835	10693387	812000	11505387	37.90MB	20.88MB	58.78MB	fineweb-2, mala
myv_Cyrl	36593	3431	40024	9871024	1167799	11038823	79.17MB	26.33MB	105.50MB	fineweb-2, mala
wuu_Hani	36438	5032	41470	12210907	1692337	13903244	62.58MB	26.04MB	88.62MB	fineweb-2, mala, New CC
ace_Latn	36012	2390	38402	4727614	340911	5068525	29.79MB	12.53MB	42.32MB	fineweb-2, mala
acr_Latn	35673	4808	40481	1739875	207674	1947549	19.82MB	3.46MB	23.28MB	fineweb-2, mala
poh_Latn	35582	4130	39712	2238300	255200	2493500	22.74MB	3.77MB	26.51MB	fineweb-2, mala
ile_Latn	35514	3184	38698	1853629	166186	2019815	18.41MB	3.36MB	21.77MB	mala
und_Rohg	35210	5319	40529	534335	80719	615054	35.06MB	39.16MB	74.22MB	fineweb-2
rue_Cyrl	35072	3428	38500	2501407	244491	2745898	28.62MB	5.87MB	34.49MB	mala
und_Sidd	34753	8407	43160	3029254	732798	3762052	43.93MB	89.12MB	133.05MB	fineweb-2
kha_Latn	34496	3081	37577	14893054	1332421	16225475	87.53MB	13.65MB	101.18MB	fineweb-2, mala
und_Yezi	33923	3346	37269	96605	9528	106133	28.00MB	13.65MB	41.64MB	fineweb-2
krc_Cyrl	32684	2481	35165	10827923	987011	11814934	72.47MB	25.29MB	97.76MB	fineweb-2, mala, New CC
hui_Latn	32666	2734	35400	2819297	252731	3072028	19.53MB	11.00MB	30.53MB	fineweb-2, mala
und_Ougr	32342	6131	38473	442158	83819	525977	29.59MB	36.19MB	65.79MB	fineweb-2
ksh_Latn	32305	3424	35729	4186698	495252	4681950	32.11MB	9.67MB	41.78MB	fineweb-2, mala
und_Avst	32162	6620	38782	1749449	360094	2109543	49.25MB	51.32MB	100.57MB	fineweb-2
fur_Latn	32091	2675	34766	4066701	358103	4424804	31.76MB	7.46MB	39.22MB	fineweb-2, mala
und_Ital	32065	5059	37124	519268	81926	601194	32.71MB	27.88MB	60.59MB	fineweb-2
und_Wcho	31939	6507	38446	1477611	301036	1778647	55.55MB	71.09MB	126.64MB	fineweb-2
lfn_Latn	31799	3351	35150	4742630	458177	5200807	30.18MB	6.90MB	37.08MB	fineweb-2, mala
gor_Latn	31302	4030	35332	1760353	220314	1980667	16.33MB	5.28MB	21.61MB	fineweb-2, mala
gag_Latn	31258	3226	34484	33716296	3425581	37141877	108.32MB	23.54MB	131.86MB	fineweb-2, mala
und_Kthi	31065	5442	36507	763516	133753	897269	29.36MB	34.08MB	63.44MB	fineweb-2
und_Tavt	30945	3628	34573	670822	78647	749469	27.94MB	14.27MB	42.21MB	fineweb-2
chk_Latn	30741	2225	32966	2432676	225568	2658244	18.95MB	6.99MB	25.95MB	fineweb-2, mala
und_Takr	30701	5285	35986	1731217	298019	2029236	29.46MB	43.48MB	72.94MB	fineweb-2
kek_Latn	30411	1879	32290	2075679	134222	2209901	18.46MB	5.77MB	24.23MB	fineweb-2, mala
hmo_Latn	30343	2403	32746	2995843	220424	3216267	21.35MB	7.59MB	28.94MB	fineweb-2, mala
ssw_Latn	30012	1701	31713	3105097	181161	3286258	24.68MB	5.27MB	29.96MB	fineweb-2, mala
fon_Latn	29709	2048	31757	4767639	309917	5077556	18.15MB	10.77MB	28.92MB	fineweb-2, mala
tls_Latn	29613	5307	34920	508597	91146	599743	11.48MB	2.52MB	14.00MB	mala
csb_Latn	29196	2153	31349	4952890	317141	5270031	36.53MB	13.36MB	49.89MB	fineweb-2, mala
quh_Latn	28826	2700	31526	1032045	93702	1125747	14.62MB	5.52MB	20.14MB	fineweb-2, mala
meu_Latn	28594	2808	31402	2417774	226275	2644049	16.99MB	8.97MB	25.96MB	fineweb-2, mala
ksd_Latn	28462	2852	31314	3076511	315218	3391729	15.06MB	10.12MB	25.18MB	fineweb-2, mala
shn_Mymr	28217	2174	30391	11791880	906211	12698091	145.02MB	28.45MB	173.48MB	fineweb-2, mala
kab_Latn	28035	2369	30404	2792303	258299	3050602	24.93MB	4.17MB	29.10MB	fineweb-2, mala
tbz_Latn	27913	2460	30373	1909269	173142	2082411	17.06MB	7.32MB	24.38MB	fineweb-2, mala
ext_Latn	27668	2861	30529	3209746	436674	3646420	22.15MB	5.46MB	27.61MB	fineweb-2, mala
rop_Latn	27540	2923	30463	2688199	466485	3154684	21.71MB	7.01MB	28.71MB	fineweb-2, mala
bqc_Latn	27370	2265	29635	1041082	83956	1125038	14.16MB	2.11MB	16.27MB	fineweb-2, mala
und_Tfng	27355	3102	30457	666338	75561	741899	22.20MB	21.44MB	43.64MB	fineweb-2
knv_Latn	26665	3318	29983	1197974	144423	1342397	17.77MB	2.36MB	20.13MB	fineweb-2, mala
aln_Latn	26646	3766	30412	1801105	222804	2023909	17.42MB	4.66MB	22.08MB	fineweb-2, mala
npi_Deva	26320	2747	29067	645216	67340	712556	18.21MB	2.02MB	20.24MB	mala
und_Tale	26174	2802	28976	220838	23641	244479	22.70MB	16.06MB	38.75MB	fineweb-2
kbd_Cyrl	26073	2291	28364	19125862	1692000	20817862	103.60MB	22.88MB	126.49MB	fineweb-2, mala
rug_Latn	25866	3181	29047	1210636	126481	1337117	14.25MB	1.70MB	15.95MB	fineweb-2, mala
kom_Cyrl	25800	2957	28757	2002103	228055	2230158	24.22MB	14.25MB	38.48MB	mala, New CC
wal_Latn	25721	2348	28069	1378945	98215	1477160	17.60MB	3.46MB	21.06MB	fineweb-2, mala
kpg_Latn	25588	2837	28425	836396	92733	929129	11.91MB	1.36MB	13.28MB	mala
dzo_Tibt	24930	3261	28191	20714733	2721673	23436406	176.75MB	60.40MB	237.15MB	fineweb-2, mala
und_Elba	24862	4614	29476	394512	73215	467727	23.07MB	18.31MB	41.38MB	fineweb-2
und_Zanb	24457	4757	29214	327394	63679	391073	24.87MB	38.17MB	63.04MB	fineweb-2
fij_Latn	23954	1393	25347	14647245	847483	15494728	69.13MB	13.98MB	83.11MB	fineweb-2, mala
hac_Arab	23894	2545	26439	9787434	1042480	10829914	95.26MB	53.17MB	148.43MB	fineweb-2
tuc_Latn	23670	1457	25127	1667545	104822	1772367	13.39MB	4.72MB	18.11MB	fineweb-2, mala
mzh_Latn	23500	3422	26922	586804	87228	674032	10.84MB	1.72MB	12.56MB	fineweb-2, mala
pan_Latn	23499	3154	26653	19854767	2664876	22519643	54.19MB	16.32MB	70.51MB	fineweb-2
tum_Latn	23369	2361	25730	2515195	250726	2765921	13.87MB	8.07MB	21.94MB	fineweb-2, mala
sgs_Latn	23067	2441	25508	1004068	80951	1085019	14.22MB	3.07MB	17.28MB	fineweb-2, mala
iba_Latn	22540	1636	24176	10715907	774734	11490641	66.08MB	18.55MB	84.63MB	fineweb-2, mala
und_Sogo	22286	3876	26162	146127	25414	171541	16.99MB	19.14MB	36.13MB	fineweb-2
und_Soyo	22207	4912	27119	598892	132469	731361	23.88MB	35.07MB	58.95MB	fineweb-2
jbo_Latn	22173	2028	24201	3475872	319165	3795037	13.37MB	6.57MB	19.94MB	fineweb-2, mala, New CC
pcd_Latn	21506	1855	23361	1387314	119662	1506976	11.71MB	2.67MB	14.37MB	mala
kjh_Cyrl	21301	1847	23148	1031763	83608	1115371	16.03MB	6.33MB	22.36MB	fineweb-2, mala
und_Dogr	21286	3820	25106	1281296	229942	1511238	28.56MB	22.79MB	51.34MB	fineweb-2
zlm_Latn	20519	6988	27507	449459	153069	602528	9.13MB	3.43MB	12.55MB	mala
und_Kawi	20279	4104	24383	396571	80256	476827	19.93MB	23.17MB	43.10MB	fineweb-2
ixl_Latn	19330	3424	22754	838727	123333	962060	10.83MB	1.94MB	12.77MB	fineweb-2, mala
und_Phli	19162	2881	22043	41161	6188	47349	16.71MB	7.25MB	23.96MB	fineweb-2
ndo_Latn	18648	2347	20995	3209470	232454	3441924	29.62MB	3.61MB	33.23MB	fineweb-2, mala
suz_Deva	18616	2234	20850	601340	74865	676205	13.35MB	3.12MB	16.48MB	fineweb-2, mala
bxr_Cyrl	18206	1647	19853	9061656	786878	9848534	71.37MB	18.02MB	89.39MB	fineweb-2, mala, New CC
ava_Cyrl	18167	1554	19721	14550948	1228411	15779359	107.88MB	14.21MB	122.09MB	fineweb-2, mala, New CC
und_Guru	18064	3007	21071	535109	89076	624185	21.62MB	55.12MB	76.74MB	fineweb-2
und_Cham	17917	3604	21521	762241	153324	915565	20.14MB	38.06MB	58.20MB	fineweb-2
und_Nbat	17611	3191	20802	280135	50758	330893	18.03MB	15.23MB	33.26MB	fineweb-2
brh_Arab	17461	1987	19448	6795547	773309	7568856	55.61MB	15.52MB	71.13MB	fineweb-2
und_Nand	17389	3359	20748	307115	59324	366439	16.94MB	18.31MB	35.25MB	fineweb-2
bho_Deva	17315	2180	19495	6646075	830554	7476629	91.40MB	15.63MB	107.03MB	fineweb-2, mala
ctd_Latn	17146	1544	18690	14833923	1341649	16175572	81.02MB	15.27MB	96.30MB	fineweb-2, mala
und_Osma	16975	2590	19565	495544	75608	571152	18.27MB	14.41MB	32.69MB	fineweb-2
aym_Latn	16583	1862	18445	1794497	201492	1995989	16.32MB	7.86MB	24.18MB	mala
hus_Latn	16480	1289	17769	1550072	155334	1705406	11.68MB	4.61MB	16.29MB	fineweb-2, mala
mfe_Latn	16480	4048	20528	12277328	2993026	15270354	52.61MB	59.40MB	112.01MB	fineweb-2, mala
gom_Deva	16447	1403	17850	6198275	488821	6687096	70.16MB	13.43MB	83.59MB	fineweb-2, mala, New CC
ady_Cyrl	16359	1820	18179	10748863	1168169	11917032	68.27MB	11.84MB	80.11MB	fineweb-2, mala
nbl_Latn	16112	1903	18015	838256	96449	934705	11.61MB	2.86MB	14.47MB	fineweb-2, mala
bat_Latn	15407	1524	16931	520105	51446	571551	9.15MB	2.32MB	11.47MB	mala
gug_Latn	15148	2562	17710	4578245	605145	5183390	38.46MB	10.19MB	48.65MB	fineweb-2, mala
ctu_Latn	14907	1075	15982	869126	61725	930851	7.86MB	2.49MB	10.35MB	fineweb-2, mala
und_Sind	14810	4238	19048	315612	90315	405927	20.18MB	17.84MB	38.02MB	fineweb-2
hne_Deva	14754	1465	16219	5962132	551615	6513747	71.79MB	13.03MB	84.82MB	fineweb-2, mala
guj_Deva	14742	2102	16844	1223055	174390	1397445	8.71MB	15.10MB	23.81MB	mala
srn_Latn	14688	1513	16201	9591478	933951	10525429	30.79MB	10.57MB	41.36MB	fineweb-2, mala
und_Sogd	14515	2728	17243	307504	57793	365297	13.99MB	9.28MB	23.27MB	fineweb-2
ton_Latn	14442	1278	15720	15103774	1335385	16439159	52.84MB	10.09MB	62.93MB	fineweb-2, mala
san_Latn	14408	1363	15771	19910532	2248454	22158986	35.94MB	30.47MB	66.40MB	fineweb-2, mala
aoj_Latn	13950	1700	15650	978003	121818	1099821	11.75MB	1.24MB	12.99MB	fineweb-2, mala
ltg_Latn	13945	831	14776	6977241	399268	7376509	48.38MB	5.17MB	53.55MB	fineweb-2, mala
lez_Cyrl	13694	1523	15217	6271912	679498	6951410	50.57MB	13.03MB	63.60MB	fineweb-2, mala, New CC
xav_Latn	13685	1355	15040	1182331	132463	1314794	10.89MB	1.91MB	12.80MB	fineweb-2, mala
luo_Latn	13435	1389	14824	1167915	129822	1297737	10.91MB	1.78MB	12.69MB	fineweb-2, mala
jam_Latn	13418	2184	15602	4585080	786365	5371445	26.25MB	15.70MB	41.95MB	fineweb-2, mala
bug_Latn	13294	2364	15658	457683	78412	536095	6.82MB	1.49MB	8.30MB	fineweb-2, mala
mrj_Cyrl	13282	1076	14358	6260548	530718	6791266	43.19MB	11.77MB	54.97MB	fineweb-2, mala, New CC
kos_Latn	13231	1029	14260	2125205	249061	2374266	12.98MB	5.13MB	18.11MB	fineweb-2, mala
und_Pauc	13226	4277	17503	1884578	609431	2494009	13.02MB	31.50MB	44.51MB	fineweb-2
uig_Cyrl	13089	1314	14403	17895565	1796529	19692094	78.38MB	15.30MB	93.68MB	fineweb-2
bih_Deva	12955	1570	14525	610769	74018	684787	10.24MB	3.37MB	13.60MB	mala
kbp_Latn	12917	1030	13947	5130789	412563	5543352	23.48MB	7.10MB	30.58MB	fineweb-2, mala
alt_Cyrl	12874	947	13821	7266148	515897	7782045	46.66MB	13.43MB	60.09MB	fineweb-2, mala
cfm_Latn	12560	963	13523	6839916	537373	7377289	35.12MB	10.53MB	45.65MB	fineweb-2, mala
und_Sylo	12417	2878	15295	922705	213863	1136568	21.71MB	21.20MB	42.91MB	fineweb-2
avk_Latn	12268	2019	14287	2064997	339846	2404843	11.57MB	4.10MB	15.67MB	fineweb-2, mala
lad_Latn	11615	1357	12972	4089396	495441	4584837	27.23MB	6.02MB	33.25MB	fineweb-2, mala
goh_Latn	11236	1748	12984	12674662	1971814	14646476	73.62MB	40.63MB	114.25MB	fineweb-2
cor_Latn	11233	1100	12333	4362762	407095	4769857	20.14MB	4.66MB	24.80MB	fineweb-2, mala, New CC
quc_Latn	11178	991	12169	2123624	191742	2315366	12.23MB	5.98MB	18.20MB	fineweb-2, mala
und_Goth	10949	1171	12120	108649	11620	120269	9.68MB	3.09MB	12.77MB	fineweb-2
kpv_Cyrl	10379	1181	11560	5296164	518302	5814466	52.44MB	24.08MB	76.52MB	fineweb-2, mala
aka_Latn	10332	951	11283	4341922	399648	4741570	22.37MB	7.51MB	29.87MB	mala
und_Rjng	10296	2356	12652	595509	136268	731777	9.00MB	14.33MB	23.32MB	fineweb-2
und_Chrs	10239	1260	11499	45985	5658	51643	7.84MB	5.20MB	13.04MB	fineweb-2
rmn_Latn	10203	710	10913	5087312	354012	5441324	31.16MB	11.69MB	42.85MB	fineweb-2
hak_Latn	10124	821	10945	1232294	101429	1333723	8.54MB	2.03MB	10.57MB	fineweb-2, mala
rcf_Latn	9696	762	10458	2900501	223229	3123730	20.20MB	2.71MB	22.91MB	fineweb-2, mala
gym_Latn	9590	752	10342	1867978	149232	2017210	10.17MB	6.22MB	16.38MB	fineweb-2, mala
sag_Latn	9583	929	10512	4933566	478272	5411838	15.58MB	4.12MB	19.70MB	mala
pls_Latn	9497	1097	10594	366580	45809	412389	5.04MB	658.19KB	5.68MB	fineweb-2, mala
som_Arab	9235	1126	10361	1404768	171279	1576047	6.83MB	11.35MB	18.18MB	mala
